* 250x52	250 250 9,5 8,0 231	66,0	7694 616 10,8 678	2475 198 6,12 300,6	6,79	18,2	1,48	51,8
* 250x63	250 250 12,5 8,0 225	80,5	9581 766 10,9 843	3256 260 6,36 394,2	6,89	36,4	1,48	63,2
* 250x66	250 250 12,5 9,5 225	83,9	9723 778 10,8 862	3257 261 6,23 395,7	6,84	39,0	1,48	65,8
* 250x76	250 250 16,0 8,0 218	97,4	11660 933 10,9 1031	4168 333 6,54 503,5	6,97	72,0	1,48	76,5
* 250x79	250 250 16,0 9,5 218	101,0	11790 943 10,8 1049	4168 333 6,43 504,9	6,92	74,5	1,48	79,1
* 250x84	250 250 16,0 12,5 218	107,0	12050 964 10,6 1085	4170 334 6,24 508,5	6,84	82,5	1,48	84,2
* 250x90	250 250 19,0 9,5 212	115,0	13460 1076 10,8 1204	4949 396 6,56 598,5	6,98	120,0	1,48	90,4
* 250x95	250 250 19,0 12,5 212	122,0	13690 1096 10,6 1238	4951 396 6,38 602,0	6,90	128,0	1,48	95,4
* 250x108	250 250 22,4 12,5 205	138,0	15450 1236 10,6 1406	5837 467 6,51 708,0	6,96	201,0	1,48	108,0
* 300x62	300 300 9,5 8,0 281	79,5	13510 901 13,0 986	4276 285 7,33 432,0	8,14	21,9	1,78	62,4
* 300x76	300 300 12,5 8,0 275	97,0	16890 1126 13,2 1229	5626 375 7,62 566,0	8,27	43,8	1,78	76,1
* 300x95	300 300 16,0 9,5 268	121,0	20900 1393 13,1 1534	7202 480 7,70 726,0	8,30	89,6	1,78	95,3
* 300x102	300 300 16,0 12,5 268	130,0	21380 1426 12,8 1588	7204 480 7,46 730,5	8,20	99,4	1,78	102,0
* 300x109	300 300 19,0 9,5 262	139,0	23960 1597 13,1 1765	8552 570 7,85 860,9	8,36	145,0	1,78	109,0
* 300x115	300 300 19,0 12,5 262	147,0	24410 1627 12,9 1816	8554 570 7,63 865,2	8,27	154,0	1,78	115,0
* 300x122	300 300 19,0 16,0 262	156,0	24940 1662 12,6 1876	8559 571 7,41 871,8	8,18	173,0	1,77	122,0
* 300x131	300 300 22,4 12,5 255	166,0	27680 1845 12.9 2069	10080 672 7,78 1018,0	8,34	241,0	1,78	131,0
* 300x138	300 300 22,4 16,0 255	175,0	28170 1878 12,7 2126	10090 673 7,59 1024,0	8,25	260,0	1,77	138,0
* 300x149	300 300 25,0 16,0 250	190,0	30520 2035 12,7 2313	11260 751 7,70 1141,0	8,30	347,0	1,77	149,0
* 350x93	350 350 12,5 9,5 325	118,0	27650 1580 15,3 1727	8935 511 8,69 773,0	9,56	54,9	2,08	92,9
* 350x112	350 350 16,0 9,5 318	142,0	33810 1932 15,4 2111	11430 653 8,96 987,2	9,68	105,0	2,08	112,0
* 350x119	350 350 16,0 12,5 318	152,0	34610 1978 15,1 2186	11440 654 8,68 992,4	9,55	116,0	2,08	119,0
* 350x128	350 350 19,0 9,5 312	163,0	38870 2221 15,5 2432	13580 776 9,14 1171,0	9,75	169,0	2,08	128,0
